category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,url,source,scraped_date
"Home, Furniture & Appliances",Roch Ac 1.5hp Available for Sale R410s With Low Noise,2699.0,Brand New,Greater Accra,Awoshie,"Greater Accra, Awoshie",Verified ID,"One year warranty 
Brand new 
R410S 
Low noise",False,https://jiji.com.gh/awoshie/home-appliances/roch-ac-1-5hp-available-for-sale-r410s-with-low-noise-9T9YkumJ0P3rKsHnv1NtxkmD.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Automatic Wall Mounted Plastic Hand Dryer 1200w,440.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji","Automatic hand dryer

Voltage: 220V-240V (50Hz-60Hz)

Rated power: 1200W

Hand Time:10-12...",False,https://jiji.com.gh/accra-metropolitan/home-appliances/automatic-wall-mounted-plastic-hand-dryer-1200w-glSFzTJCydVe32pDvZ0Loi5u.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Metal Modern Single Pendant Lights.,275.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,Metal Modern Single Pendant Lights. New Arrivals,False,https://jiji.com.gh/accra-metropolitan/lighting/metal-modern-single-pendant-lights-1oX5Tu7xnPisw2r70EKqrKRs.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",1.5hp Air Conditioner – Turbo Cooling System,2700.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,"1.5HP Air Conditioner – Turbo Cooling System1 YEAR WARRANTY 
# Pay in installments 
# Visit...",False,https://jiji.com.gh/accra-metropolitan/home-appliances/1-5hp-air-conditioner-turbo-cooling-system-lgdCyEBzSdpeju6n50OuGLhE.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Binatone 12 Kg Fully Automatic Top Load Washing Machine,4200.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,"Binatone 12kg washing machine
Fully automatic
Top load
Wash and spin",False,https://jiji.com.gh/accra-metropolitan/home-appliances/binatone-12-kg-fully-automatic-top-load-washing-machine-yxpeked0ZZbo13Bw2M4Ajaic.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Quality And Affordable Zara 368 Litre Chest Freezer Light And Lock,4590.0,Brand New,Greater Accra,Kotobabi,"Greater Accra, Kotobabi","Verified ID, 5+ years on Jiji","ZARA 368litre Chest Freezer with Fast cooling and freezing Features
7 YEARS WARRANTY ASSURED...",False,https://jiji.com.gh/kotobabi/kitchen-appliances/quality-and-affordable-zara-368-litre-chest-freezer-light-and-lock-2NXnVEQrn66YJgkiVBOosq9D.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",360° Spin Mop Bucket + 3 Reusable Microfiber Heads,250.0,Bulk prices,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,"Say goodbye to back pain, dirty hands and missed corners! The 360° Spin Mop & Bucket is the smarter,...",False,https://jiji.com.gh/accra-metropolitan/decor-accessories/360deg-spin-mop-bucket-3-reusable-microfiber-heads-dKH5H8LOkyf2NmaigruGEcMI.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Hisense Fridge 205l,3499.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji","Hisense refrigerator going for cool price... more storage, energy efficient, heavy duty compressor,...",False,https://jiji.com.gh/accra-metropolitan/kitchen-appliances/hisense-fridge-205l-pmqiXOUihf7uKp0kXGXGxpfa.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Silvercrest Tower Fan STV 50 F1 Black,850.0,Brand New,Greater Accra,Mataheko,"Greater Accra, Mataheko","Verified ID, 5+ years on Jiji","Power: 50 W. With 3 fan settings and oscillation
Switchable 90° oscillation, stepless 120-minute...",False,https://jiji.com.gh/mataheko/home-appliances/silvercrest-tower-fan-stv-50-f1-black-rwn2BNZOKnQv3OfUOa8Ppdkx.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Dr. Fixit (Dump Proofing),550.0,,Greater Accra,North Industrial Area,"Greater Accra, North Industrial Area","Verified ID, 5+ years on Jiji",Dr. Fixit is water proof chemical used in mortar or concrete works during construction to prevent...,False,https://jiji.com.gh/north-industrial-area/household-chemicals/dr-fixit-dump-proofing-auLFNm8EbXyDft33xXx8ndSh.html,Jiji Ghana (jiji.com.gh),2026-04-20
