Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Description,URL,Source,Scraped Date
Electronics,Various Nintendo Games,80.0,GH₵ 80,"Other, Used",Greater Accra,Oyarifa,"Greater Accra, Oyarifa","Slightly used Nintendo catridges from UK and in good condition.
Each goes for 80ghc or more...",https://jiji.com.gh/oyarifa/videogames/various-nintendo-games-noqNU77cjSi3BAJP9nVEyMYu.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Airpods With Display [Enc + Anc Support],350.0,GH₵ 350,"Brand New, Wireless",Greater Accra,Alajo,"Greater Accra, Alajo",Airpods With screen display True Adaptive Noise Cancelling technology tunes out distractions so you...,https://jiji.com.gh/alajo/headphones/airpods-with-display-enc-anc-support-Bjzk4Om0NzgRXtGqOTgcuYYG.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Verbatim Cd-R (Compact Disc Recordable) Blank Disc 700mb,35.0,GH₵ 35,Brand New,Greater Accra,Oyarifa,"Greater Accra, Oyarifa","It has a storage capacity of 700 MB or 80 minutes of audio. 
The disc supports recording speeds up...",https://jiji.com.gh/oyarifa/computer-accessories/verbatim-cd-r-compact-disc-recordable-blank-disc-700mb-aKFX2bVjUljP4iyHzFW90dZc.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,"Canon 600d With Screen Color Change,Please Read Description",2700.0,"GH₵ 2,700",Used,Greater Accra,Kasoa,"Greater Accra, Kasoa","Canon Eos 600d , working but screen colour change to pink, just as in pictures, in very good...",https://jiji.com.gh/kasoa/cameras-video-cameras-and-accessories/canon-600d-with-screen-color-change-please-read-description-dQukCK2poL2NcqNC35uz26ST.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Sata to Usb for All HHD,180.0,GH₵ 180,Brand New,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan","Powered sat to usb 
available with adapter",https://jiji.com.gh/kumasi-metropolitan/computer-accessories/sata-to-usb-for-all-hhd-jOg5Kdm3LKlmfdcMEsqLeCyY.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Mx4 Original Thermal Paste,100.0,GH₵ 100,Brand New,Northern Region,Tamale Municipal,"Northern Region, Tamale Municipal",ORIGINAL MX4 Thermal paste 4g available,https://jiji.com.gh/tamale-municipal/computer-accessories/mx4-original-thermal-paste-kHyxeK1NIVGQ8Vg7JHvx6FsP.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Compact Powerful HD Camcorder for Every-Occasion-Legria G25,8500.0,"GH₵ 8,500",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka","Unleash your creativity with the Canon LEGRIA G25 camcorder, featuring a robust 20x optical zoom and...",https://jiji.com.gh/adabraka/cameras-video-cameras-and-accessories/compact-powerful-hd-camcorder-for-every-occasion-legria-g25-2KZtdaBGhBbQN6hCaRkWNGAO.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Available Now SRS- XV 900 Sony Sound System,14499.0,"GH₵ 14,499",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka","SRS- XV 900 LIVE LIFE LOUD
Life should be lived at full volume. That means getting your friends...",https://jiji.com.gh/adabraka/audio-and-music-equipment/available-now-srs-xv-900-sony-sound-system-aakAlVH2dbcTiLV4a2FXy1i0.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Xbox 360 Power Adapter Original One,250.0,GH₵ 250,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Xbox 360 original power adapter is available for sale.,https://jiji.com.gh/circle/computer-accessories/xbox-360-power-adapter-original-one-6ClsnjjQlU0ZZrpi0dbDoQFN.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Upgrade Your TV’S Sound With the Brand New TCL 200w 1.2ch,1400.0,"GH₵ 1,400",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",The TCL 200W Soundbar is a powerful and stylish addition to your home theater setup. With its...,https://jiji.com.gh/adabraka/audio-and-music-equipment/upgrade-your-tvs-sound-with-the-brand-new-tcl-200w-1-2ch-hiI5gNfdQxP0etQoRzeUxo2D.html,Jiji Ghana (jiji.com.gh),2026-04-27
