Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Description,URL,Source,Scraped Date
Commercial Equipment & Tools,Lenso 12.9” Teleprompter,2500.0,"GH₵ 2,500",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Key Features and Details
Compatibility: Supports tablets/iPads up to 12.9 inches and most...",https://jiji.com.gh/accra-metropolitan/printing-equipment/lenso-12-9-teleprompter-s4AWrrygJQKEby3pX4bzrgqH.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Texas Instruments Ba Ii Plus Professional Calculator,1500.0,"GH₵ 1,500",,Greater Accra,Odorkor,"Greater Accra, Odorkor","This item is brand-new, factory sealed.
ba ii plus professional calculator features time-saving...",https://jiji.com.gh/odorkor/stationery/texas-instruments-ba-ii-plus-professional-calculator-rHY2VyEAVLGacUH33ZseQuXo.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Acrylic Mirror,60.0,GH₵ 60,,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",Classy Acrylic mirror,https://jiji.com.gh/kumasi-metropolitan/salon-equipment/acrylic-mirror-n6KzFm8PqYSEouJgPgmHD8Oh.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Blood Collection Tube (Sodium Citrate),90.0,GH₵ 90,,Greater Accra,Dansoman,"Greater Accra, Dansoman",It is use for collecting blood for performing coagulation studies,https://jiji.com.gh/dansoman/medical-equipment/blood-collection-tube-sodium-citrate-gquwiahtn8uzll5Mmpdr4WVl.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Petri Dish,20.0,GH₵ 20,Bulk prices,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","A *Petri dish* is a shallow, transparent laboratory container used to:
1. *Culture microorganisms*:...",https://jiji.com.gh/accra-metropolitan/medical-equipment/petri-dish-hTcfz2Jkb36SuUy17rTGoxSe.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Towels Warmer (UV Sterilizer),1100.0,"GH₵ 1,100",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","The cabinet utilizes UV sterilizer technology to effectively eradicate any germs, giving you peace...",https://jiji.com.gh/accra-metropolitan/salon-equipment/towels-warmer-uv-sterilizer-ax5OEyDTZnM90Di4AaQ2TZg6.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,High Quality Commercial 12 Liters Deep Flyer,3800.0,"GH₵ 3,800",Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",High quality 12 liters commercial deep fryer,https://jiji.com.gh/accra-metropolitan/restaurant-and-catering-equipment/high-quality-commercial-12-liters-deep-flyer-7VADZAsBMiATSMeIdPefoAve.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Saloon And Barbershop Chairs,2000.0,"GH₵ 2,000",,Greater Accra,Dansoman,"Greater Accra, Dansoman",Saloon/Barbering shop chairs,https://jiji.com.gh/dansoman/salon-equipment/saloon-and-barbershop-chairs-swW3GeyJhckNzFo5anwMwdj1.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Shampoo Basin,2899.0,"GH₵ 2,899",,Greater Accra,Achimota,"Greater Accra, Achimota","Brand new sink.
we import and sell all beauty equipments.pedicure,mannicure, massaging,facial...",https://jiji.com.gh/achimota/salon-equipment/shampoo-basin-xgW6IjMyKRpgaoAEMYSlxQq6.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Digital Bp Machine,117.0,GH₵ 117,,Greater Accra,Accra New Town,"Greater Accra, Accra New Town",Quality digital Bp machine for monitoring your blood pressure,https://jiji.com.gh/accra-new-town/medical-equipment/digital-bp-machine-zkt5efAPecuoxHy1SbRHPJZP.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,40 Litre Biohazard Bin,230.0,GH₵ 230,,Greater Accra,North Industrial Area,"Greater Accra, North Industrial Area",Our 40 Litre Biohazard Medical Waste Bin is designed for safe and efficient medical waste disposal...,https://jiji.com.gh/north-industrial-area/medical-equipment/40-litre-biohazard-bin-pt5gV9gzVUYNpttM0893sV0Y.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Scale With Height,870.0,GH₵ 870,Bulk prices,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",The device measure height and weight simultaneously,https://jiji.com.gh/accra-metropolitan/medical-equipment/scale-with-height-CctWz4HHYDjZjhX7NAfBQNNa.html,Jiji Ghana (jiji.com.gh),2026-04-27
