source,last_updated,indicator,period,consumer_price_index_and_inflation
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-11,50.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-10,40.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-09,37.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-08,33.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-07,31.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-06,29.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-05,27.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-04,23.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-03,19.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-02,15.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-01,13.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-12,12.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-11,12.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-10,11.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-09,10.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-08,9.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-07,9.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-06,7.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-05,7.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-04,8.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-03,10.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-02,10.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-01,9.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-12,10.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-11,9.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-10,10.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-09,10.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-08,10.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-07,11.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-06,11.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-05,11.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-04,10.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-03,7.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-02,7.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-01,7.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-12,7.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-11,8.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-10,7.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-09,7.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-08,7.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-07,7.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-06,7.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-05,7.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-04,6.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-03,6.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-02,6.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-01,5.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-12,5.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-11,6.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-10,7.0
