Dataset,Source,Scraped Date,Indicator,Month,Consumer Price Index and Inflation
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2013M11,41.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2013M10,41.2
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2013M09,40.3
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2013M08,40.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2013M07,40.8
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2013M06,40.3
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2013M05,39.7
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2013M04,39.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2013M03,38.8
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2013M02,38.6
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2013M01,38.3
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2012M12,36.9
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2012M11,36.6
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2012M10,36.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2012M09,36.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2012M08,36.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2012M07,36.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2012M06,36.1
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2012M05,35.8
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2012M04,35.6
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2012M03,35.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2012M02,35.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2012M01,34.8
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2011M12,32.8
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2011M11,32.6
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2011M10,32.6
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2011M09,32.3
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2011M08,32.6
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2011M07,32.6
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2011M06,32.3
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2011M05,32.1
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2011M04,32.1
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2011M03,31.8
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2011M02,32.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2011M01,32.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2010M12,30.2
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2010M11,30.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2010M10,30.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2010M09,29.8
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2010M08,30.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2010M07,30.1
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2010M06,29.7
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2010M05,29.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2010M04,29.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2010M03,29.2
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2010M02,29.3
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2010M01,29.3
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2009M12,27.8
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2009M11,27.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2009M10,27.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2009M09,27.2
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2009M08,27.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2009M07,27.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2009M06,27.1
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2009M05,26.7
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2009M04,26.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2009M03,25.7
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2009M02,25.7
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2009M01,25.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2008M12,24.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2008M11,23.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2008M10,23.2
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2008M09,23.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2008M08,22.9
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2008M07,22.8
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2008M06,22.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2008M05,22.2
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2008M04,21.9
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2008M03,21.4
