Dataset,Source,Scraped Date,Month,Producer Price Index,Year-on-year PPI change (%),Month-on-month PPI change (%)
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2008M12,20.8,9.6,-5.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2008M11,21.9,19.2,-1.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2008M10,22.3,34.2,0.4
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2008M09,22.2,36.9,0.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2008M08,22.1,36.9,2.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2008M07,21.7,38.1,1.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2008M06,21.3,37.1,1.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2008M05,21.0,37.5,2.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2008M04,20.4,35.7,1.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2008M03,20.2,38.4,3.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2008M02,19.5,34.5,2.4
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2008M01,19.1,30.2,0.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2007M12,18.9,32.6,3.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2007M11,18.4,32.0,10.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2007M10,16.6,20.7,2.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2007M09,16.2,15.3,0.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2007M08,16.1,..,2.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2007M07,15.7,..,0.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2007M06,15.5,..,1.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2007M05,15.3,..,1.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2007M04,15.1,..,3.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2007M03,14.6,..,0.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2007M02,14.5,..,-0.8
