category,title,price_ghs,condition,tags,region,area,location,price_outlier_flag,url,source,scraped_date
Vehicles,"2019,2020,2021,2022,2023 Front Bumper for Mercedes Benz GLB X247",90003.0,Brand New,"Bulk prices, Brand New",Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",True,https://tonaton.com/a-MfYFNdCgVQ364dnsTjfiUE0TCwQehUDG-2019-2020-2021-2022-2023-front-bumper-for-mercedes-benz-glb-x247.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,2011 Honda Accord Japan Type,26000.0,Used,Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",True,https://tonaton.com/a-MfYFNdCgoLB0JSNLAQGwnXDwnsfa3hRk-2011-honda-accord-japan-type.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Audi Q8 55 Premium AWD quattro 2020 White,650000.0,Foreign Used,"Foreign Used, Automatic, 50000 km",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",True,https://tonaton.com/a-MfYFNdCgqzQdK4OoKbQfM1w4FwnSKQiG-audi-q8-55-premium-awd-quattro-2020-white.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Home Used Specked Rim,1400.0,Used,Used,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgZTiSEShHjayG4ltZ8kyoDrn0-home-used-specked-rim.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Original BBS Rim for All Cars,3700.0,Used,Used,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgLaUdcPupE43yBkId6uNVJIh0-original-bbs-rim-for-all-cars.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Motor Battery,400.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgAY0brfwWlL1ukVdB7HhwOW8C-motor-battery.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Chevrolet Sonic 2012 Valve Body,2000.0,Used,Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCgl3yvnMSvngbZM6gHoNRsq73v-chevrolet-sonic-2012-valve-body.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,"2018,2019,2020,2021,2022 Shutter Grille For Honda Accord",1700.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCgCAfEgLmuM4V2pC7tIh2MbHIS-2018-2019-2020-2021-2022-shutter-grille-for-honda-accord.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,"Toyota Venza 2010,2016 Spec Bumper/ Upgrade Bumper",43000.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",True,https://tonaton.com/a-MfYFNdCgiaMSnOeFKiE1FVwqjBQ0xeds-toyota-venza-2010-2016-spec-bumper-upgrade-bumper.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Toyota Venza Upgrade Available,50000.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",True,https://tonaton.com/a-MfYFNdCgxv6ClQqmAfgxLTOhInDHIUN7-toyota-venza-upgrade-available.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Corolla Alloy Rim Used,6200.0,Used,Used,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgu2NIT8NBmXgAqhADpF1KRJ2m-corolla-alloy-rim-used.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,165/70r14 Michelin Tyre All Season,650.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgNOtUpkqaYy7tushF4BxsMg0m-165-70r14-michelin-tyre-all-season.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,"Mitsubishi L200 2014,2015 Headlight",1800.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCgthLAqdNKbOhDDmsPS66qfoGD-mitsubishi-l200-2014-2015-headlight.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Car Leather Seats Enclosures Upholstery,3000.0,Brand New,Brand New,Greater Accra,East Legon,"Greater Accra, East Legon",False,https://tonaton.com/a-MfYFNdCgDpIdWdWVPpLosXLbxbBbpjkT-car-leather-seats-enclosures-upholstery.html,Tonaton Ghana (tonaton.com),2026-04-20
